identifier,ec_numbers,localization,Gene3D
O60909,2.4.1,other,
O60911,other,other,other
O60921,,other,other
O60927,2.3.2,,
O60928,,Membrane,other
O60930,other,Cytoplasm,other
O60931,,other,other
O60934,,other,other
O60936,,other,other
O60938,,other,3.80.10.10
O60939,,Membrane,2.60.40.10
O60941,,other,other
O60942,other,Nucleus,other
O75019,,Membrane,2.60.40.10
O75022,,Cell membrane,2.60.40.10
O75027,,Mitochondrion inner membrane,other
O75030,,other,other
O75031,,other,other
O75037,,other,other
O75038,other,other,other
O75044,,other,other
O75051,,Cell membrane,other
O75052,,other,other
O75054,,Membrane,2.60.40.10
O75056,,Cell membrane,
O75061,3.1.3,other,other
O75063,other,other,
O75069,,Endoplasmic reticulum membrane,
O75072,other,other,
O75074,,other,other
O75077,,other,other
O75078,,other,other
O75081,,other,other
O75083,,other,2.130.10.10
O75084,,other,other
O75093,,Secreted,other
O75094,,Secreted,other
O75096,,Cell membrane,other
O75106,other,other,other
O75110,other,other,other
O75112,,other,other
O75113,other,other,other
O75116,2.7.11,other,other
O75121,,other,2.60.40.10
O75122,,other,other
O75127,,other,other
O75128,,other,
O75129,,other,other
O75131,,other,other
O75132,,other,
O75140,,other,other
O75143,,other,other
O75144,,Cell membrane,2.60.40.10
O75145,,other,other
O75146,,other,other
O75147,,other,2.60.40.10
O75150,2.3.2,Nucleus,other
O75151,other,other,other
O75152,,Nucleus,other
O75154,,other,other
O75155,,Nucleus,other
O75159,,,other
O75161,,other,
O75164,other,Nucleus,other
O75165,,other,other
O75167,,other,other
O75170,,Cytoplasm,other
O75173,other,other,other
O75175,,other,other
O75177,,other,
O75179,,"Cytoplasm, Nucleus",other
O75182,,Nucleus,other
O75185,other,other,other
O75190,,other,other
O75191,other,,other
O75192,,other,
O75197,,other,other
O75204,,other,
O75208,,Mitochondrion,other
O75223,other,,other
O75251,other,Mitochondrion inner membrane,other
O75293,,,other
O75298,,other,other
O75306,other,Mitochondrion inner membrane,other
O75309,,Cell membrane,other
O75311,,other,other
O75312,,other,other
O75317,3.4.19,other,other
O75323,,other,other
O75324,,other,other
O75326,,Cell membrane,other
O75330,,other,
O75334,,other,other
O75339,,other,other
O75340,,other,other
O75342,other,other,other
O75343,other,Cytoplasm,other
O75344,,"Cytoplasm, Nucleus",other
O75347,,other,other
O75348,,other,other
O75351,3.6.4,other,other
O75354,other,other,other
O75355,other,Cell membrane,other
O75356,other,other,other
O75360,,Nucleus,1.10.10.60
O75362,,Nucleus,3.30.160.60
O75364,,Nucleus,1.10.10.60
O75365,3.1.3,other,other
O75366,,other,other
O75368,,other,other
O75369,,other,other
O75376,,Nucleus,other
O75379,,other,other
O75381,,other,other
O75382,2.3.2,other,other
O75385,2.7.11,other,1.10.510.10
O75386,,other,
O75387,,other,other
O75390,other,other,other
O75398,,other,other
O75400,,other,other
O75409,,,other
O75410,,other,other
O75414,other,,other
O75417,3.6.4,other,other
O75419,,other,
O75420,,,other
O75425,,Membrane,2.60.40.10
O75427,,Cell membrane,other
O75431,,other,other
O75436,,other,other
O75438,,Mitochondrion inner membrane,
O75439,other,other,other
O75443,,other,other
O75444,,Nucleus,other
O75446,,Nucleus,other
O75448,,Nucleus,
O75449,other,other,other
O75452,other,other,other
O75460,2.7.11,Endoplasmic reticulum membrane,other
O75461,,Nucleus,other
O75462,,Secreted,2.60.40.10
O75469,,Nucleus,other
O75473,,other,other
O75475,,Nucleus,other
O75477,,Endoplasmic reticulum membrane,other
O75478,,other,other
O75486,,Nucleus,other
O75487,,other,
O75489,other,Mitochondrion inner membrane,other
O75494,,other,3.30.70.330
O75496,,"Cytoplasm, Nucleus",other
O75503,2.3.1,other,
O75506,,Nucleus,other
O75508,,other,other
O75509,,Cell membrane,other
O75521,other,other,other
O75525,,Nucleus,other
O75528,,Nucleus,
O75529,,Nucleus,other
O75530,,other,2.130.10.10
O75531,,other,other
O75533,,other,other
O75534,,other,other
O75553,,Cytoplasm,other
O75554,,other,other
O75556,,Secreted,
O75558,,other,other
O75563,,Cytoplasm,other
O75564,,Nucleus,1.10.10.60
O75569,,other,other
O75570,,Mitochondrion,other
O75575,,other,other
O75578,,Membrane,other
O75581,,other,other
O75582,2.7.11,"Nucleus, Cytoplasm",1.10.510.10
O75586,,Nucleus,other
O75593,,Nucleus,other
O75594,,other,other
O75600,2.3.1,other,other
O75602,,other,other
O75603,,Nucleus,other
O75604,3.4.19,other,other
O75607,,other,other
O75608,other,other,other
O75610,,Secreted,other
O75616,,other,other
O75618,,other,other
O75626,2.1.1,"Nucleus, Cytoplasm",other
O75628,,,3.40.50.300
O75629,,Secreted,
O75631,,Endoplasmic reticulum membrane,
O75636,,Secreted,other
O75638,,,other
O75643,3.6.4,Nucleus,other
O75648,other,Mitochondrion,other
O75663,,Cytoplasm,
O75665,,other,
O75674,,other,other
O75676,2.7.11,Nucleus,1.10.510.10
O75677,,"Cytoplasm, Nucleus",other
O75678,,,other
O75679,,"Cytoplasm, Nucleus",other
O75683,,other,
O75688,3.1.3,other,other
O75689,,"Nucleus, Cytoplasm",other
O75694,,other,other
O75695,,other,other
O75712,,other,other
O75716,2.7.11,other,1.10.510.10
O75717,,other,other
O75718,,other,other
O75746,,Mitochondrion inner membrane,other
O75751,,other,other
O75752,2.4.1,other,other
O75762,,Cell membrane,other
O75771,,other,3.40.50.300
O75781,,other,
O75783,3.4.21,Membrane,other
O75787,,other,
O75791,,other,other
O75792,other,Nucleus,other
O75794,,Cytoplasm,
O75795,2.4.1,Endoplasmic reticulum membrane,other
O75800,,other,other
O75807,,other,
O75808,other,,other
O75815,,other,other
O75817,,other,other
O75818,,other,
O75821,,other,3.30.70.330
O75822,,Cytoplasm,other
O75828,other,Cytoplasm,other
O75829,,other,other
O75832,,"Cytoplasm, Nucleus",other
O75838,,other,other
O75840,,Nucleus,3.30.160.60
O75841,,Membrane,other
O75843,,other,other
O75844,other,other,other
O75845,other,Endoplasmic reticulum membrane,
O75864,,,3.80.10.10
O75865,,other,other
O75871,,Membrane,2.60.40.10
O75874,other,other,other
O75879,other,Mitochondrion,other
O75880,,other,other
O75881,other,other,other
O75882,,other,other
O75884,other,,other
O75886,,other,other
O75888,,Secreted,other
O75891,other,other,other
O75896,,,
O75897,other,other,3.40.50.300
O75899,,other,other
O75900,other,other,other
O75907,2.3.1,Endoplasmic reticulum membrane,
O75908,2.3.1,Endoplasmic reticulum membrane,
O75909,,Nucleus,other
O75911,other,Membrane,other
O75912,other,other,other
O75914,2.7.11,Cytoplasm,other
O75915,,other,
O75916,,Membrane,other
O75920,,other,
O75923,,other,other
O75925,2.3.2,other,other
O75928,2.3.2,other,other
O75934,,other,
O75935,,other,
O75936,other,Cytoplasm,other
O75937,,Nucleus,other
O75940,,other,other
O75943,,other,3.40.50.300
O75951,other,other,other
O75952,,other,other
O75955,,other,other
O75956,,"Cytoplasm, Nucleus",other
O75969,,other,
O75970,,other,other
O75971,,Nucleus,
O75976,other,Cell membrane,other
O75995,,,other
O76003,,other,other
O76013,,,other
O76014,,,other
O76015,,,other
O76021,,other,other
O76024,,other,other
O76027,,,other
O76031,,other,other
O76036,,Cell membrane,2.60.40.10
O76039,2.7.11,other,1.10.510.10
O76041,,Cytoplasm,other
O76050,2.3.2,other,other
O76054,,"Cytoplasm, Nucleus",other
O76061,,Secreted,
O76062,other,other,other
O76064,2.3.2,other,other
O76070,,other,other
O76071,,Cytoplasm,2.130.10.10
O76074,other,,other
O76075,other,"Cytoplasm, Nucleus",other
O76076,,Secreted,other
O76080,,Cytoplasm,other
O76081,,other,other
O76082,,other,other
O76083,other,other,other
O76090,,other,
O76093,,Secreted,other
O76094,,other,other
O76095,,other,other
O76096,,other,other
O77932,other,Nucleus,
O94759,,other,other
O94760,other,,
O94761,other,"Cytoplasm, Nucleus",other
O94762,other,other,other
O94763,,other,other
O94766,2.4.1,other,
O94768,2.7.11,other,1.10.510.10
O94769,,other,other
O94776,,Nucleus,other
O94777,,Endoplasmic reticulum membrane,
O94778,,other,other
O94779,,Cell membrane,2.60.40.10
O94782,3.4.19,Nucleus,other
O94788,other,Cytoplasm,
O94804,2.7.11,Cell membrane,1.10.510.10
O94805,,Nucleus,other
O94806,2.7.11,other,other
O94808,other,,other
O94810,,,other
O94811,3.6.5,other,other
O94812,,other,other
O94813,,Secreted,other
O94817,,other,
O94818,,other,
O94822,2.3.2,other,other
O94823,other,other,other
O94826,,other,other
O94827,,other,other
O94829,,"Cytoplasm, Nucleus",other
O94830,other,other,other
O94832,,other,other
O94842,,Nucleus,other
O94850,,other,
O94855,,other,other
O94856,,other,2.60.40.10
O94864,,Nucleus,other
O94868,,other,other
O94874,2.3.2,other,
O94875,,other,other
O94876,,Endoplasmic reticulum membrane,
O94885,,Cytoplasm,other
O94886,,other,3.30.70.330
O94887,,,other
O94888,,Nucleus,other
O94892,,Nucleus,"6.10.140.140, 3.30.160.60"
O94898,,other,other
O94900,,Nucleus,other
O94905,,Endoplasmic reticulum membrane,other
O94906,,other,other
O94907,,Secreted,other
O94910,,other,other
O94911,other,other,3.40.50.300
O94913,,Nucleus,other
O94916,,other,other
O94919,other,Secreted,other
O94921,2.7.11,other,1.10.510.10
O94923,other,other,
O94925,other,other,other
O94927,,other,
O94929,,Cytoplasm,other
O94933,,Membrane,3.80.10.10
O94941,2.3.2,Nucleus,other
O94953,other,Nucleus,other
O94955,other,other,3.40.50.300
O94966,3.4.19,Endoplasmic reticulum membrane,other
O94967,,other,2.130.10.10
O94972,2.3.2,other,other
O94973,,other,other
O94979,,other,other
O94983,,Nucleus,other
O94985,,other,other
O94986,,other,
O94989,,other,other
O94991,,Membrane,3.80.10.10
O94992,,"Nucleus, Cytoplasm",other
O94993,,"Nucleus, Cytoplasm",other
O95045,other,,other
O95047,,Cell membrane,1.20.1070.10
O95049,,other,other
O95050,2.1.1,Cytoplasm,other
O95057,,Cell membrane,3.40.50.300
O95059,,other,other
O95067,,,other
O95069,,other,other
O95070,,other,
O95072,,other,other
O95073,,Nucleus,
O95096,,Nucleus,1.10.10.60
O95104,,Nucleus,other
O95125,,Nucleus,other
O95136,,Cell membrane,1.20.1070.10
O95139,,Mitochondrion inner membrane,
O95140,3.6.5,other,other
O95147,3.1.3,,other
O95149,,"Nucleus, Cytoplasm",other
O95150,,other,other
O95153,,other,other
O95154,other,Cytoplasm,other
O95155,2.3.2,"Cytoplasm, Nucleus",other
O95159,,other,other
O95163,,"Cytoplasm, Nucleus",2.130.10.10
O95166,,other,
O95167,,Mitochondrion inner membrane,
O95168,,Mitochondrion inner membrane,
O95169,,Mitochondrion inner membrane,
O95171,,other,other
O95180,,Cell membrane,other
O95182,,Mitochondrion inner membrane,
O95183,,other,other
O95185,,other,other
O95196,,other,
O95197,,other,other
O95198,,other,other
O95201,,Nucleus,"6.10.140.140, 3.30.160.60"
O95202,,Mitochondrion inner membrane,other
O95206,,other,other
O95208,,other,other
O95210,,other,2.60.40.10
O95214,,Membrane,
O95218,,Nucleus,other
O95219,,other,other
O95229,,other,
O95231,,Nucleus,1.10.10.60
O95232,,other,
O95235,,other,other
O95236,,Cytoplasm,
O95237,2.3.1,other,other
O95238,,Nucleus,other
O95239,,other,other
O95243,other,Nucleus,
O95248,,other,other
O95249,,other,
O95251,2.3.1,other,other
O95255,other,other,other
O95256,other,Cell membrane,other
O95257,,,other
O95258,,Mitochondrion inner membrane,other
O95259,,other,other
O95260,2.3.2,"Nucleus, Cytoplasm",
O95263,other,,other
O95264,,other,other
O95267,,other,other
O95271,other,other,other
O95273,,"Cytoplasm, Nucleus",other
O95274,,Cell membrane,other
O95279,,Membrane,other
O95292,,Endoplasmic reticulum membrane,2.60.40.10
O95294,,,other
O95295,,other,
O95297,,Membrane,2.60.40.10
O95298,,Mitochondrion inner membrane,
O95299,,other,3.40.50.300
O95302,other,other,other
O95319,,"Nucleus, Cytoplasm",3.30.70.330
O95340,other,,other
O95342,other,other,other
O95343,,Nucleus,1.10.10.60
O95347,,other,other
O95352,,other,other
O95361,2.3.2,Cytoplasm,other
O95363,other,other,other
O95365,,Nucleus,3.30.160.60
O95372,other,Cytoplasm,other
O95373,,"Cytoplasm, Nucleus",other
O95376,2.3.2,"Nucleus, Cytoplasm",other
O95377,,other,other
O95379,,Cytoplasm,other
O95382,2.7.11,,1.10.510.10
O95388,,Secreted,other
O95389,,other,other
O95390,,Secreted,other
O95391,,other,
O95393,,Secreted,other
O95394,other,,other
O95395,2.4.1,other,
O95396,other,Cytoplasm,other
O95398,,other,other
O95399,,Secreted,
O95400,,"Cytoplasm, Nucleus",other
O95402,,Nucleus,other
O95405,,other,other
O95406,,other,
O95407,,Secreted,other
O95409,,"Nucleus, Cytoplasm",3.30.160.60
O95415,,other,
O95416,,Nucleus,other
O95425,,other,other
O95427,other,Endoplasmic reticulum membrane,other
O95428,,Secreted,other
O95429,,Cytoplasm,other
O95433,,other,other
O95436,,other,
O95445,,Secreted,other
O95447,,,
O95450,other,other,other
O95452,,other,other
O95453,other,other,other
O95456,,other,
O95460,,Secreted,other
O95461,other,other,
O95466,,other,other
O95470,other,Endoplasmic reticulum membrane,other
O95471,,other,other
O95475,,Nucleus,1.10.10.60
O95476,3.1.3,other,other
O95477,other,other,3.40.50.300
O95479,other,other,other
O95484,,other,other
O95486,,other,other
O95487,,other,other
O95490,,Membrane,other
O95497,other,Cell membrane,other
O95498,other,Cell membrane,other
O95500,,other,other
O95503,,other,other
O95528,,other,other
O95544,other,,
O95551,other,other,other
O95562,,Membrane,
O95563,,Mitochondrion inner membrane,
O95568,2.1.1,other,other
O95571,other,other,other
O95573,other,other,other
O95600,,Nucleus,3.30.160.60
O95602,other,other,other
O95619,,Nucleus,other
O95622,other,other,other
O95628,2.3.2,"Cytoplasm, Nucleus",other
O95630,3.4.19,other,other
O95631,,other,other
O95633,,other,other
O95639,,Nucleus,other
O95644,,"Cytoplasm, Nucleus",other
O95670,,other,other
O95671,other,,other
O95672,other,Membrane,other
O95674,other,Endoplasmic reticulum membrane,
O95677,3.1.3,"Cytoplasm, Nucleus",other
O95678,,,other
O95684,,other,other
O95696,,other,other
O95704,,other,other
O95707,,other,other
O95711,,other,other
O95715,,Secreted,other
O95716,,Cell membrane,3.40.50.300
O95718,,other,other
O95721,,other,other
O95727,,Cell membrane,2.60.40.10
O95741,,other,other
O95747,2.7.11,Cytoplasm,1.10.510.10
O95749,other,other,other
O95750,,Secreted,other
O95751,,Nucleus,
O95754,,other,other
O95758,,,3.30.70.330
O95760,,other,other
O95772,,other,
O95777,,Nucleus,other
O95782,,other,other
O95785,,Nucleus,3.30.160.60
O95786,3.6.4,other,other
O95789,,Nucleus,
O95793,,other,other
O95801,,other,other
O95803,other,other,3.40.50.300
O95807,,Membrane,
O95810,,other,
O95813,,Secreted,other
O95816,,,other
O95817,,"Nucleus, Cytoplasm",other
O95819,2.7.11,Cytoplasm,1.10.510.10
O95822,other,other,other
O95825,other,other,other
O95831,other,other,other
O95832,,other,other
O95833,other,other,other
O95834,,other,2.130.10.10
O95835,2.7.11,other,other
O95837,,,other
O95843,,,other
O95847,,Mitochondrion inner membrane,other
O95848,other,Cytoplasm,other
O95858,,other,other
O95859,,Cell membrane,other
O95861,3.1.3,,other
O95863,,"Nucleus, Cytoplasm",3.30.160.60
O95864,other,Endoplasmic reticulum membrane,other
O95865,other,other,
O95866,,other,
O95867,,Cell membrane,
O95868,,other,
O95870,other,Membrane,other
O95872,,,other
O95876,,other,2.130.10.10
O95881,other,other,other
O95886,,other,
O95897,,other,
O95900,other,other,other
O95905,,"Cytoplasm, Nucleus",
O95907,,other,other
O95922,other,other,other
O95925,,other,other
O95926,,Nucleus,
O95931,,Nucleus,other
O95932,2.3.2,Cytoplasm,other
O95935,,Nucleus,other
O95936,,Nucleus,other
O95944,,Cell membrane,2.60.40.10
O95947,,Nucleus,other
O95948,,Nucleus,other
O95954,other,other,other
O95967,,other,other
O95968,,Secreted,
O95970,,other,3.80.10.10
O95971,,other,2.60.40.10
O95972,,Secreted,other
O95977,,Cell membrane,1.20.1070.10
O95980,,Cell membrane,other
O95983,,other,
O95985,other,,other
O95988,,,other
O95989,other,"Cytoplasm, Nucleus",other
O95990,,other,
O95992,other,Endoplasmic reticulum membrane,
O95994,,other,other
O95995,,other,
O95996,,other,other
O95997,,"Cytoplasm, Nucleus",
O95998,,Secreted,2.60.40.10
O95999,,other,other
O96000,,Mitochondrion inner membrane,
O96004,,other,other
O96005,,Membrane,
O96006,2.3.2,other,
O96007,other,other,other
O96008,,other,other
O96009,other,Secreted,other
O96011,,other,
O96013,2.7.11,Cytoplasm,other
O96014,,other,other
O96015,,other,other
O96017,2.7.11,other,other
O96018,,other,other
O96019,,Nucleus,other
O96020,,Nucleus,other
O96024,2.4.1,other,other
O96028,2.1.1,other,other
O97980,,,
P00156,,Mitochondrion inner membrane,
P00167,,other,other
P00326,other,Cytoplasm,other
P00338,other,Cytoplasm,other
P00352,other,other,
P00367,other,other,other
P00374,other,other,other
P00387,other,other,other
P00390,other,other,other
P00395,other,Mitochondrion inner membrane,other
P00403,other,Mitochondrion inner membrane,other
P00414,other,Mitochondrion inner membrane,other
P00439,other,,other
P00441,other,"Cytoplasm, Nucleus",other
P00451,,other,other
P00480,other,other,other
P00491,other,Cytoplasm,other
P00492,other,Cytoplasm,other
P00505,other,other,other
P00519,other,other,other
P00533,other,other,other
P00540,2.7.11,Cytoplasm,1.10.510.10
P00558,other,Cytoplasm,other
P00568,other,Cytoplasm,3.40.50.300
P00709,,Secreted,other
P00734,3.4.21,other,other
P00736,3.4.21,Secreted,other
P00738,,Secreted,other
P00739,,Secreted,other
P00740,3.4.21,Secreted,other
P00742,3.4.21,Secreted,other
P00746,3.4.21,Secreted,other
P00747,3.4.21,Secreted,other
P00748,3.4.21,Secreted,other
P00750,3.4.21,other,other
P00751,3.4.21,Secreted,other
P00797,other,other,other
P00813,other,other,other
P00846,,Mitochondrion inner membrane,other
P00915,other,Cytoplasm,other
P00918,other,other,other
P00966,other,other,other
P00973,other,other,other
P00995,,Secreted,other
P01008,,other,other
P01009,,other,other
P01011,,Secreted,other
P01023,,Secreted,other
P01024,,Secreted,other
P01031,,Secreted,other
P01033,,Secreted,other
P01034,,Secreted,other
P01036,,Secreted,other
P01037,,Secreted,other
P01040,,Cytoplasm,other
P01042,,other,other
P01100,,other,other
P01111,3.6.5,other,3.40.50.300
P01112,3.6.5,other,3.40.50.300
P01116,3.6.5,other,3.40.50.300
P01127,,Secreted,other
P01130,,other,other
P01133,,Membrane,other
P01135,,other,other
P01138,,other,other
P01148,,Secreted,
P01160,,other,
P01178,,Secreted,other
P01185,,Secreted,other
P01189,,Secreted,
P01210,,other,
P01213,,Secreted,
P01215,,Secreted,other
P01222,,Secreted,other
P01225,,Secreted,other
P01229,,Secreted,other
P01236,,Secreted,other
P01241,,Secreted,other
P01242,,Secreted,other
P01258,,Secreted,
P01270,,Secreted,
P01275,,other,other
P01282,,Secreted,other
P01286,,Secreted,
P01298,,Secreted,other
P01303,,other,other
P01308,,Secreted,other
P01344,,Secreted,other
P01350,,Secreted,
P01374,,other,other
P01375,,other,other
P01562,,Secreted,other
P01566,,Secreted,other
P01567,,Secreted,other
P01568,,Secreted,other
P01569,,Secreted,other
P01570,,Secreted,other
P01571,,Secreted,other
P01574,,Secreted,other
P01579,,Secreted,other
P01583,,other,other
P01584,,other,other
P01588,,Secreted,other
P01589,,Membrane,other
P01591,,Secreted,
P01593,,other,2.60.40.10
P01594,,other,2.60.40.10
P01597,,other,2.60.40.10
P01599,,other,2.60.40.10
P01602,,other,2.60.40.10
P01615,,other,2.60.40.10
P01619,,other,2.60.40.10
P01699,,other,2.60.40.10
P01700,,other,2.60.40.10
P01701,,other,2.60.40.10
P01703,,other,2.60.40.10
P01704,,other,2.60.40.10
P01705,,other,2.60.40.10
P01706,,other,2.60.40.10
P01709,,other,2.60.40.10
P01721,,other,2.60.40.10
P01730,,Cell membrane,other
P01732,,other,2.60.40.10
P01742,,other,2.60.40.10
P01764,,other,2.60.40.10
P01768,,other,2.60.40.10
P01772,,other,2.60.40.10
P01780,,other,2.60.40.10
P01814,,other,2.60.40.10
P01817,,other,2.60.40.10
P01833,,other,2.60.40.10
P01834,,other,2.60.40.10
P01848,,Cell membrane,2.60.40.10
P01850,,Cell membrane,2.60.40.10
P01889,,other,other
P01893,,Cell membrane,other
P01903,,other,2.60.40.10
P01906,,other,2.60.40.10
P01909,,other,2.60.40.10
P01911,,other,2.60.40.10
P01920,,other,2.60.40.10
P02008,,,other
P02042,,,other
P02100,,,other
P02144,other,other,other
P02458,,other,other
P02461,,other,other
P02462,,other,other
P02489,,"Cytoplasm, Nucleus",other
P02511,,other,other
P02533,,"Cytoplasm, Nucleus",other
P02538,,,other
P02545,,other,other
P02549,,other,other
P02585,,,other
P02647,,Secreted,other
