identifier,phrog,product,function,product_category
phage_0477,16826,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0478,30152,virion structural protein,head and packaging,structural
phage_0479,2331,transposase,integration and excision,
phage_0480,3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0481,9690,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0482,5034,NinG/ Rap DNA junction specific endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0483,1198,MutT/NUDIX hydrolase,other,hydrolases
phage_0484,5702,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_0485,58,tail length tape measure protein,tail,tail_tape_measure
phage_0486,22609,tail fiber protein,tail,minor_tail
phage_0487,3339,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0488,99,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0489,323,"transcriptional regulator, D5-like",transcription regulation,transcription_regulation
phage_0490,8369,hol-like chemotaxis,other,
phage_0491,26246,tail protein,tail,
phage_0492,18522,tail protein,tail,
phage_0493,19421,head decoration,head and packaging,minor_capsid
phage_0494,83,terminase small subunit,head and packaging,dna_packaging
phage_0495,5304,peptidase,other,peptidases
phage_0496,3322,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0497,10356,virion structural protein,head and packaging,structural
phage_0498,938,endolysin,lysis,lysis
phage_0499,306,minor head protein Ace-like,head and packaging,minor_capsid
phage_0500,737,minor tail protein,tail,minor_tail
phage_0501,305,tail length tape measure protein,tail,tail_tape_measure
phage_0502,95,integrase,integration and excision,recombination
phage_0503,4,transcriptional repressor,transcription regulation,transcription_regulation
phage_0504,7168,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0505,1292,tail length tape measure protein,tail,tail_tape_measure
phage_0506,351,RNA polymerase sigma factor,transcription regulation,transcription
phage_0507,172,head scaffolding protein,head and packaging,head_assembly
phage_0508,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_0509,23178,peptidase,other,peptidases
phage_0510,7308,cation efflux protein,"moron, auxiliary metabolic gene and host takeover",
phage_0511,937,hemolysin,other,lysis
phage_0512,598,DNA ejection,"DNA, RNA and nucleotide metabolism",
phage_0513,5520,,unknown function,
phage_0514,430,baseplate hub subunit and tail lysozyme,tail,baseplate
phage_0515,1,integrase,integration and excision,recombination
phage_0516,18345,tail fiber protein,tail,minor_tail
phage_0517,1907,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0518,11693,pilot protein for DNA ejection,tail,
phage_0519,315,endolysin,lysis,lysis
phage_0520,4708,head scaffolding protein,head and packaging,head_assembly
phage_0521,376,tail protein,tail,
phage_0522,4,transcriptional repressor,transcription regulation,transcription_regulation
phage_0523,279,tail sheath,tail,major_tail
phage_0524,31,central tail fiber J,tail,
phage_0525,4707,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0526,418,internal virion protein,head and packaging,structural
phage_0527,225,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0528,33,distal tail protein Dit,tail,
phage_0529,1897,terminase small subunit,head and packaging,dna_packaging
phage_0530,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_0531,487,NrdD-like anaerobic ribonucleotide reductase large subunit,"moron, auxiliary metabolic gene and host takeover",oxidoreductases
phage_0532,3122,RF-1 domain peptide chain release factor,other,
phage_0533,80,head maturation protease,head and packaging,head_assembly
phage_0534,7220,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism",transcriptional_control
phage_0535,10938,virion structural protein,head and packaging,structural
phage_0536,10316,tail fiber protein,tail,minor_tail
phage_0537,1157,transposase,integration and excision,
phage_0538,891,terminase small subunit,head and packaging,dna_packaging
phage_0539,7776,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0540,452,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0541,3639,minor tail protein,tail,minor_tail
phage_0542,3431,Arc-like repressor,transcription regulation,transcriptional_control
phage_0543,2468,head morphogenesis,head and packaging,major_capsid
phage_0544,1670,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0545,236,nucleotide kinase,other,
phage_0546,47,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0547,325,Dda-like helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0548,721,,unknown function,
phage_0549,384,virion structural protein,head and packaging,structural
phage_0550,1469,baseplate wedge subunit,tail,baseplate
phage_0551,7244,integrase,integration and excision,recombination
phage_0552,38058,tail fiber protein,tail,minor_tail
phage_0553,9777,tail fiber protein,tail,minor_tail
phage_0554,45,tail tube,tail,
phage_0555,31,central tail fiber J,tail,
phage_0556,817,tail fiber protein,tail,minor_tail
phage_0557,18345,tail fiber protein,tail,minor_tail
phage_0558,5107,amidase,lysis,peptidases
phage_0559,10356,virion structural protein,head and packaging,structural
phage_0560,438,baseplate wedge subunit,tail,baseplate
phage_0561,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0562,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_0563,6700,endolysin,lysis,lysis
phage_0564,5736,transcriptional regulator,transcription regulation,transcription_regulation
phage_0565,298,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0566,1156,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0567,487,NrdD-like anaerobic ribonucleotide reductase large subunit,"moron, auxiliary metabolic gene and host takeover",oxidoreductases
phage_0568,14070,,unknown function,
phage_0569,2657,transcriptional regulator,transcription regulation,transcription_regulation
phage_0570,290,minor tail protein,tail,minor_tail
phage_0571,10100,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0572,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0573,8401,beta-propeller repeat protein,other,
phage_0574,1535,tail length tape measure protein,tail,tail_tape_measure
phage_0575,19394,tail fiber protein,tail,minor_tail
phage_0576,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0577,19195,virion structural protein,head and packaging,structural
phage_0578,6831,transcriptional regulator,transcription regulation,transcription_regulation
phage_0579,4478,peptidase,other,peptidases
phage_0580,920,holin,lysis,lysis
phage_0581,171,NinG/ Rap DNA junction specific endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0582,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_0583,12683,,unknown function,
phage_0584,3519,tail length tape measure protein,tail,tail_tape_measure
phage_0585,10819,,unknown function,
phage_0586,457,tail protein,tail,
phage_0587,462,lipoprotein,other,membrane_proteins
phage_0588,15637,,unknown function,
phage_0589,1419,tail protein,tail,
phage_0590,2557,virion structural protein,head and packaging,structural
phage_0591,124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_0592,18404,hydrolase,other,hydrolases
phage_0593,19930,DNA polymerase/primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0594,1682,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_0595,61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_0596,5060,anti-repressor Ant,transcription regulation,transcriptional_control
phage_0597,24,tail length tape measure protein,tail,tail_tape_measure
phage_0598,8716,tail fiber protein,tail,minor_tail
phage_0599,9167,,unknown function,
phage_0600,2234,tail spike protein,tail,minor_tail
phage_0601,4715,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_0602,115,minor head protein,head and packaging,minor_capsid
phage_0603,1044,endolysin,lysis,lysis
phage_0604,10820,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0605,6299,terminase small subunit,head and packaging,dna_packaging
phage_0606,643,transcriptional regulator,transcription regulation,transcription_regulation
phage_0607,38058,tail fiber protein,tail,minor_tail
phage_0608,7220,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism",transcriptional_control
phage_0609,11138,,unknown function,
phage_0610,172,head scaffolding protein,head and packaging,head_assembly
phage_0611,2468,head morphogenesis,head and packaging,major_capsid
phage_0612,1373,transcriptional regulator,transcription regulation,transcription_regulation
phage_0613,351,RNA polymerase sigma factor,transcription regulation,transcription
phage_0614,274,DNA endonuclease V,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0615,9665,transcriptional regulator,transcription regulation,transcription_regulation
phage_0616,4056,baseplate protein,tail,baseplate
phage_0617,1535,tail length tape measure protein,tail,tail_tape_measure
phage_0618,12965,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0619,25243,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0620,118,head-tail adaptor,connector,connector
phage_0621,34859,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_0622,36952,,unknown function,
phage_0623,156,portal protein,head and packaging,portal
phage_0624,3242,tail sheath,tail,major_tail
phage_0625,38,terminase large subunit,head and packaging,dna_packaging
phage_0626,77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0627,1044,endolysin,lysis,lysis
phage_0628,6700,endolysin,lysis,lysis
phage_0629,77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0630,156,portal protein,head and packaging,portal
phage_0631,979,terminase large subunit,head and packaging,dna_packaging
phage_0632,4286,head maturation protease,head and packaging,head_assembly
phage_0633,680,tail length tape measure protein,tail,tail_tape_measure
phage_0634,2714,,unknown function,
phage_0635,979,terminase large subunit,head and packaging,dna_packaging
phage_0636,502,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_0637,3188,co-chaperonin GroES,other,
phage_0638,3677,protease,other,peptidases
phage_0639,52,tail protein,tail,
phage_0640,3270,head maturation protease,head and packaging,head_assembly
phage_0641,18470,portal protein,head and packaging,portal
phage_0642,11393,tail fiber protein,tail,minor_tail
phage_0643,14138,minor tail protein,tail,minor_tail
phage_0644,20988,ATPase,other,
phage_0645,1645,virion structural protein,head and packaging,structural
phage_0646,5062,tail length tape measure protein,tail,tail_tape_measure
phage_0647,12798,tail length tape measure protein,tail,tail_tape_measure
phage_0648,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0649,5939,tail protein,tail,
phage_0650,21955,,unknown function,
phage_0651,4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism",
phage_0652,22602,virion structural protein,head and packaging,structural
phage_0653,6651,internal virion protein,head and packaging,structural
phage_0654,312,Rz-like spanin,lysis,lysis
phage_0655,4554,tail protein,tail,
phage_0656,3638,CII-like transcriptional activator,transcription regulation,transcription_regulation
phage_0657,2589,tail protein,tail,
phage_0658,17635,tail fiber protein,tail,minor_tail
phage_0659,1815,guanylate kinase,other,
phage_0660,20655,major head protein,head and packaging,major_capsid
phage_0661,12,portal protein,head and packaging,portal
phage_0662,10963,portal protein,head and packaging,portal
phage_0663,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_0664,24527,virion structural protein,head and packaging,structural
phage_0665,262,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0666,89,Rz-like spanin,lysis,lysis
phage_0667,3382,methyltransferase,other,dna_modification
phage_0668,456,Rz-like spanin,lysis,lysis
phage_0669,9570,tail length tape measure protein,tail,tail_tape_measure
phage_0670,3519,tail length tape measure protein,tail,tail_tape_measure
phage_0671,58,tail length tape measure protein,tail,tail_tape_measure
phage_0672,25966,tail length tape measure protein,tail,tail_tape_measure
phage_0673,1640,tail protein,tail,
phage_0674,697,structural protein,head and packaging,structural
phage_0675,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism",transcription
phage_0676,135,dUTPase,"DNA, RNA and nucleotide metabolism",
phage_0677,2952,minor tail protein,tail,minor_tail
phage_0678,192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0679,456,Rz-like spanin,lysis,lysis
phage_0680,773,major head protein,head and packaging,major_capsid
phage_0681,4628,tail fiber assembly,tail,
phage_0682,236,nucleotide kinase,other,
phage_0683,2536,Rz-like spanin,lysis,lysis
phage_0684,10250,terminase large subunit,head and packaging,dna_packaging
